Date,Open
2021-02-09,46184.992188
2021-02-10,46469.761719
2021-02-11,44898.710938
2021-02-12,47877.035156
2021-02-13,47491.203125
2021-02-14,47114.507813
2021-02-15,48696.535156
2021-02-16,47944.457031
2021-02-17,49207.277344
2021-02-18,52140.972656
2021-02-19,51675.980469
2021-02-20,55887.335938
2021-02-21,56068.56640599999
2021-02-22,57532.73828099999
2021-02-23,54204.929688
2021-02-24,48835.085938
2021-02-25,49709.082031
2021-02-26,47180.464844
2021-02-27,46344.773438
2021-02-28,46194.015625
2021-03-01,45159.503906
2021-03-02,49612.105469
2021-03-03,48415.816406
2021-03-04,50522.304688
2021-03-05,48527.03125
2021-03-06,48899.230469
2021-03-07,48918.679688
2021-03-08,51174.117188
2021-03-09,52272.96875
